iter	MultiClass
0	1.68137767
1	1.587191168
2	1.509275274
3	1.442634227
4	1.384762245
5	1.329424659
6	1.287255153
7	1.250111951
8	1.216549067
9	1.183723951
10	1.159297829
11	1.132949705
12	1.107373111
13	1.088254721
14	1.067337918
15	1.050764834
16	1.035303444
17	1.020967562
18	1.006555355
19	0.9925424888
20	0.9779845139
21	0.9648732846
22	0.9527742643
23	0.9416357884
24	0.9322329248
25	0.923906363
26	0.9129828216
27	0.9036125089
28	0.8970516529
29	0.8896294113
30	0.8807373505
31	0.8736400051
32	0.8661651271
33	0.8594267273
34	0.8534252092
35	0.8448914489
36	0.8390389263
37	0.8335730237
38	0.8285774105
39	0.822292273
40	0.8167317172
41	0.8125448397
42	0.8080830839
43	0.8023534984
44	0.7978001833
45	0.7937377558
46	0.7891218575
47	0.7860364469
48	0.7821471913
49	0.7792196628
50	0.7751462801
