iter	Passed	Remaining
0	4	236
1	8	210
2	12	198
3	16	191
4	20	187
5	24	182
6	28	180
7	33	177
8	36	172
9	40	165
10	43	159
11	48	156
12	51	150
13	55	146
14	58	141
15	62	137
16	66	132
17	70	128
18	73	123
19	77	120
20	81	116
21	84	111
22	88	107
23	92	104
24	95	99
25	99	95
26	102	91
27	106	87
28	110	83
29	113	79
30	116	75
31	120	71
32	124	67
33	127	63
34	131	59
35	134	56
36	138	52
37	141	48
38	145	44
39	148	40
40	152	37
41	155	33
42	158	29
43	161	25
44	165	22
45	168	18
46	171	14
47	175	10
48	178	7
49	181	3
50	185	0
